0.0 0.0342591 0.0687839 0.103834 0.139656 0.176481 0.214513 0.25393 0.294876 0.337452 0.381713 0.427657 0.475209 0.524197 0.57432 0.62509 0.675756 0.725185 0.771714 0.812967 0.845698 0.865777 0.868524 0.849632 0.806581 0.739574 0.650395 0.540687 0.410424 0.256106 0.0666667
0.0 0.0342591 0.0687839 0.103834 0.139656 0.176481 0.214513 0.25393 0.294876 0.337452 0.381713 0.427657 0.475209 0.524197 0.57432 0.62509 0.675756 0.725185 0.771714 0.812967 0.845698 0.865777 0.868524 0.849632 0.806581 0.739574 0.650395 0.540687 0.410424 0.256106 0.0666667
0.0 0.0340452 0.0683616 0.103214 0.138856 0.17552 0.213419 0.252734 0.293613 0.336166 0.380459 0.426502 0.474244 0.523548 0.574165 0.62569 0.677485 0.728571 0.777462 0.821942 0.85878 0.88351 0.890533 0.874122 0.83083 0.761994 0.671125 0.561395 0.434583 0.291279 0.133333
0.0 0.0336117 0.0675059 0.101959 0.137233 0.173573 0.211199 0.250303 0.291044 0.333543 0.377882 0.424101 0.472187 0.522068 0.573596 0.626516 0.680417 0.734635 0.788094 0.839011 0.884399 0.919351 0.936344 0.925826 0.880915 0.806695 0.710918 0.599341 0.475336 0.341145 0.2
0.0 0.0329474 0.0661945 0.100034 0.134745 0.170587 0.207793 0.246568 0.287084 0.329478 0.373855 0.420285 0.468805 0.519426 0.572127 0.626857 0.683522 0.741942 0.80174 0.86206 0.920885 0.973551 1.01003 1.01225 0.960599 0.873202 0.766713 0.649867 0.526377 0.398017 0.266667
0.0 0.0320349 0.0643932 0.0973904 0.131327 0.166482 0.203107 0.241421 0.281611 0.323831 0.368203 0.414829 0.463794 0.515187 0.569119 0.625758 0.685365 0.748355 0.815335 0.887056 0.963959 1.04433 1.11835 1.15289 1.07632 0.959049 0.833067 0.70719 0.582392 0.457931 0.333333
0.0 0.0308505 0.0620552 0.0939595 0.126892 0.161155 0.197021 0.234728 0.274476 0.316429 0.360725 0.407484 0.456823 0.50889 0.563897 0.622183 0.684317 0.751261 0.824657 0.90732 1.00399 1.12187 1.26653 1.40496 1.23302 1.05386 0.899516 0.763587 0.638172 0.518032 0.4
0.0 0.0293633 0.0591198 0.0896527 0.121325 0.15447 0.189384 0.226324 0.2655 0.307083 0.351211 0.398007 0.447594 0.500136 0.555884 0.615252 0.678948 0.748196 0.825182 0.914027 1.02323 1.17304 1.42129 1.96774 1.39723 1.12409 0.947753 0.809622 0.688781 0.576078 0.466667
0.0 0.0275339 0.05551 0.0843582 0.114485 0.14626 0.180011 0.216011 0.254481 0.295587 0.339456 0.386186 0.435876 0.488656 0.544739 0.604486 0.668515 0.737872 0.814318 0.900819 1.0023 1.12617 1.2782 1.42559 1.26436 1.09778 0.95798 0.838521 0.731353 0.630883 0.533333
0.0 0.0253136 0.0511296 0.0779365 0.106194 0.13632 0.168675 0.203557 0.241188 0.281725 0.325262 0.371852 0.421532 0.474353 0.530417 0.589928 0.653243 0.720939 0.793863 0.873079 0.959404 1.05155 1.14012 1.19239 1.13711 1.04495 0.948062 0.855278 0.767332 0.682818 0.6
0.0 0.0226417 0.0458598 0.0702145 0.0962335 0.124393 0.155101 0.188678 0.225353 0.265257 0.308437 0.354875 0.404513 0.457283 0.513134 0.572053 0.634074 0.699256 0.767582 0.838676 0.911111 0.980892 1.03869 1.06708 1.04702 0.997087 0.934238 0.86735 0.799978 0.733108 0.666667
0.0 0.0194443 0.0395542 0.0609784 0.0843297 0.110161 0.138941 0.171027 0.20665 0.245906 0.288775 0.335141 0.384824 0.437608 0.493266 0.551561 0.612228 0.674906 0.738996 0.803375 0.865896 0.922614 0.967027 0.990544 0.987094 0.962386 0.924652 0.880057 0.832225 0.78302 0.733333
0.0 0.0156319 0.0320347 0.0499647 0.0701422 0.0932231 0.11976 0.150164 0.184671 0.223334 0.266036 0.312534 0.362493 0.415533 0.471243 0.529183 0.588853 0.649619 0.710581 0.770377 0.826902 0.877034 0.916622 0.941301 0.948713 0.940951 0.922126 0.896151 0.865946 0.833464 0.8
0.0 0.0110988 0.0230884 0.0368522 0.0532473 0.0730694 0.0969961 0.125521 0.158896 0.197111 0.23992 0.286905 0.337542 0.39126 0.447469 0.505558 0.564864 0.624606 0.683791 0.741091 0.79472 0.84239 0.881485 0.909648 0.925788 0.930823 0.926944 0.916625 0.902046 0.884939 0.866667
0.0 0.00572489 0.0124678 0.0212565 0.0331207 0.0490509 0.0699158 0.0963481 0.128637 0.166682 0.210045 0.258063 0.309966 0.364966 0.422292 0.481197 0.540916 0.600621 0.659345 0.715915 0.768914 0.816711 0.857637 0.89034 0.914252 0.929849 0.938399 0.941508 0.940774 0.93763 0.933333
0.0 -0.000617045 -9.9339e-05 0.00273288 0.00912236 0.0203367 0.0375489 0.0616388 0.0929768 0.131322 0.175929 0.225772 0.279749 0.336812 0.396014 0.456499 0.51746 0.578086 0.637507 0.694748 0.748725 0.798292 0.842368 0.880145 0.911312 0.936162 0.955491 0.970382 0.982011 0.991523 1.0
0.0 -0.00804403 -0.0148821 -0.019201 -0.0195073 -0.0141376 -0.00141595 0.0199996 0.0506636 0.0900846 0.136989 0.189781 0.246899 0.306987 0.368928 0.431801 0.494812 0.557224 0.618302 0.67728 0.733359 0.785749 0.833752 0.87688 0.914971 0.948235 0.977213 1.00267 1.02546 1.0465 1.06667
